,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,nandurbar,-46.2817,169.8464,42.93,51,76,4.36,NZ,1627145396
293,nandurbar,55.7503,38.0042,68.52,53,100,4.94,RU,1627145553
294,nandurbar,-34.0033,24.7314,53.89,47,2,6.71,ZA,1627145325
295,nandurbar,-14.25,129.55,70.14,44,86,2.59,AU,1627145554
296,nandurbar,-20.15,28.5833,47.25,66,28,12.97,ZW,1627145463
297,nandurbar,1.1667,108.9667,80.4,83,74,10.49,ID,1627145554
298,nandurbar,30.4159,103.4609,78.62,94,10,2.98,CN,1627145338
299,nandurbar,-20.0064,57.6608,70.2,72,51,3.0,MU,1627145184
300,nandurbar,48.1,136.1,77.65,76,91,5.08,RU,1627145555
301,nandurbar,60.4667,166.1,49.69,96,100,2.13,RU,1627145555
302,nandurbar,-21.6033,-48.3658,82.6,19,0,8.23,BR,1627145556
303,nandurbar,20.0,-3.0,108.27,14,5,7.85,ML,1627145556
304,nandurbar,-35.1667,173.1667,52.59,85,49,9.24,NZ,1627145422
305,nandurbar,13.4317,-6.2157,91.35,44,88,11.3,ML,1627145557
306,nandurbar,-3.9443,119.7848,71.49,91,27,6.62,ID,1627145557
307,nandurbar,40.922,14.5329,88.65,63,0,5.39,IT,1627145558
308,nandurbar,62.0833,32.35,60.01,52,95,2.3,RU,1627145558
309,nandurbar,14.8333,104.3333,73.98,93,100,15.99,TH,1627145558
310,nandurbar,1.55,110.3333,80.82,89,20,1.14,MY,1627145559
311,nandurbar,11.0333,-63.8628,85.73,70,53,13.8,VE,1627145559
312,nandurbar,26.1842,127.7558,80.26,97,90,17.27,JP,1627145452
313,nandurbar,-30.7414,30.455,56.77,72,25,3.85,ZA,1627145560
314,nandurbar,52.4201,136.4853,69.33,80,73,2.82,RU,1627145560
315,nandurbar,31.61,34.7642,83.08,19,1,7.2,IL,1627145458
316,nandurbar,69.4865,88.3972,55.62,67,78,5.61,RU,1627145223
317,nandurbar,8.0425,2.486,81.23,67,90,4.52,BJ,1627145561
318,nandurbar,53.4106,-2.9779,76.08,57,40,3.0,GB,1627145547
319,nandurbar,42.0311,45.2075,75.72,92,69,2.68,GE,1627145562
320,nandurbar,12.5898,6.5779,81.9,65,86,10.33,NG,1627145562
321,nandurbar,49.7517,8.1161,78.08,62,85,6.62,DE,1627145562
322,nandurbar,4.9333,-52.3333,86.09,77,75,7.0,GF,1627145256
323,nandurbar,-20.5167,57.5167,70.18,78,20,5.75,MU,1627145206
324,nandurbar,29.9576,122.298,77.14,93,100,48.99,CN,1627145153
325,nandurbar,-51.6226,-69.2181,44.65,53,0,6.91,AR,1627145317
326,nandurbar,-35.35,150.4667,54.5,65,58,11.41,AU,1627145564
327,nandurbar,-29.9533,-71.3436,55.13,87,75,8.05,CL,1627145206
328,nandurbar,43.5547,-5.9248,72.37,75,75,15.01,ES,1627145564
329,nandurbar,20.8947,-156.47,77.85,91,40,13.8,US,1627145319
330,nandurbar,-45.4167,167.7167,37.6,88,100,2.77,NZ,1627145407
331,nandurbar,70.4692,-68.5914,35.83,93,90,13.8,CA,1627145565
332,nandurbar,-3.8004,102.2655,76.69,86,19,5.26,ID,1627145188
333,nandurbar,-0.7193,8.7815,78.76,69,90,12.66,GA,1627145453
334,nandurbar,-7.9667,31.6167,58.86,51,4,7.52,TZ,1627145566
335,nandurbar,16.8634,-99.8901,84.02,79,75,9.22,MX,1627145360
336,nandurbar,18.7333,-103.6833,87.01,67,90,2.91,MX,1627145466
337,nandurbar,21.3469,-158.0858,77.32,78,1,5.75,US,1627145567
338,nandurbar,-0.3332,37.6459,67.44,49,99,3.47,KE,1627145567
339,nandurbar,26.1906,-97.6961,91.89,51,20,16.11,US,1627145437
340,nandurbar,65.4167,-52.9,40.35,77,43,7.87,GL,1627145568
341,nandurbar,-46.1333,167.6833,38.82,83,100,7.54,NZ,1627145351
342,nandurbar,18.4411,1.4078,92.75,40,82,15.77,ML,1627145496
343,nandurbar,54.4277,50.8051,59.94,74,84,7.9,RU,1627145569
344,nandurbar,24.9139,118.5858,85.95,89,96,3.76,CN,1627145569
345,nandurbar,9.1924,117.8141,81.61,79,100,12.17,PH,1627145570
346,nandurbar,70.8578,29.0864,45.18,87,100,28.1,NO,1627145414
347,nandurbar,-8.7676,160.7034,76.96,86,71,4.41,SB,1627145443
348,nandurbar,-16.6228,-72.7111,64.27,73,59,8.32,PE,1627145572
349,nandurbar,62.2266,-6.589,52.72,94,75,21.03,FO,1627145223
350,nandurbar,52.6333,29.7333,70.21,69,84,3.69,BY,1627145573
351,nandurbar,37.3394,-121.895,80.53,59,20,0.0,US,1627145406
352,nandurbar,69.4058,86.1778,51.87,71,88,7.61,RU,1627145574
353,nandurbar,58.8053,-122.7002,65.79,52,75,8.05,CA,1627145434
354,nandurbar,62.5833,6.1333,77.16,88,90,6.91,NO,1627145409
355,nandurbar,-10.6167,150.6667,79.16,86,86,10.11,PG,1627145576
356,nandurbar,4.6374,103.4368,80.53,94,99,0.0,MY,1627145577
357,nandurbar,20.5022,-10.0711,106.92,14,32,4.92,MR,1627145531
